"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 14, 2018","5,408.45","5,378.72","5,414.34","5,378.19","-","0.55%"
"Aug 13, 2018","5,378.72","5,378.72","5,378.72","5,378.72","-","-0.53%"
"Aug 12, 2018","5,407.18","5,407.18","5,407.18","5,407.18","-","0.00%"
"Aug 09, 2018","5,407.00","5,407.00","5,407.00","5,407.00","-","0.02%"
"Aug 08, 2018","5,405.95","5,405.95","5,405.95","5,405.95","-","0.45%"
"Aug 07, 2018","5,381.88","5,381.88","5,381.88","5,381.88","-","0.53%"
"Aug 06, 2018","5,353.41","5,353.41","5,353.41","5,353.41","-","-0.07%"
"Aug 05, 2018","5,357.02","5,357.02","5,357.02","5,357.02","-","-0.79%"
"Aug 02, 2018","5,399.79","5,399.79","5,399.79","5,399.79","-","0.96%"
"Aug 01, 2018","5,348.20","5,348.20","5,348.20","5,348.20","-","0.86%"
"Jul 31, 2018","5,302.63","5,302.63","5,302.63","5,302.63","-","0.75%"
"Jul 30, 2018","5,262.91","5,262.91","5,262.91","5,262.91","-","-0.32%"
"Jul 29, 2018","5,280.07","5,280.07","5,280.07","5,280.07","-","-0.47%"
"Jul 26, 2018","5,305.17","5,305.17","5,305.17","5,305.17","-","-0.27%"
"Jul 25, 2018","5,319.44","5,319.44","5,319.44","5,319.44","-","-0.30%"
"Jul 24, 2018","5,335.38","5,335.38","5,335.38","5,335.38","-","-0.24%"
"Jul 23, 2018","5,348.06","5,348.06","5,348.06","5,348.06","-","0.17%"
"Jul 22, 2018","5,339.18","5,339.18","5,339.18","5,339.18","-","0.03%"
"Jul 19, 2018","5,337.42","5,337.42","5,337.42","5,337.42","-","0.06%"
"Jul 18, 2018","5,334.18","5,334.18","5,334.18","5,334.18","-","0.16%"
"Jul 17, 2018","5,325.48","5,325.48","5,325.48","5,325.48","-","-0.27%"
"Jul 16, 2018","5,339.91","5,339.91","5,339.91","5,339.91","-","0.06%"
"Jul 15, 2018","5,336.74","5,336.74","5,336.74","5,336.74","-","-0.41%"
"Jul 12, 2018","5,358.90","5,358.90","5,358.90","5,358.90","-","-0.38%"
